iter	Passed	Remaining
291	940	2279
292	943	2277
293	947	2274
294	950	2270
295	953	2267
296	956	2265
297	960	2262
298	963	2258
299	966	2254
300	969	2250
301	973	2250
302	977	2247
303	980	2243
304	982	2239
305	985	2234
306	988	2231
307	991	2227
308	994	2223
309	996	2218
310	999	2214
311	1002	2210
312	1005	2207
313	1008	2203
314	1011	2199
315	1013	2194
316	1016	2190
317	1018	2185
318	1022	2183
319	1025	2179
320	1028	2175
321	1031	2172
322	1034	2168
323	1038	2166
324	1041	2163
325	1044	2159
326	1047	2155
327	1050	2153
328	1054	2151
329	1058	2149
330	1061	2145
331	1064	2142
332	1069	2141
333	1073	2140
334	1076	2137
335	1079	2134
336	1082	2129
337	1086	2128
338	1090	2126
339	1093	2122
340	1096	2118
341	1099	2115
342	1103	2113
343	1106	2110
344	1109	2106
345	1112	2102
346	1115	2098
347	1119	2097
348	1122	2094
349	1125	2090
350	1128	2086
351	1131	2083
352	1135	2082
353	1139	2078
354	1142	2076
355	1145	2072
356	1148	2069
357	1152	2067
358	1156	2064
359	1159	2060
360	1162	2057
361	1166	2056
362	1171	2055
363	1174	2052
364	1177	2048
365	1181	2046
366	1186	2045
367	1189	2042
368	1191	2038
369	1195	2035
370	1199	2034
371	1203	2031
372	1206	2027
373	1209	2023
374	1211	2019
375	1215	2017
376	1218	2014
377	1222	2010
378	1225	2007
379	1228	2004
380	1233	2004
381	1238	2003
382	1241	2000
383	1245	1998
384	1250	1997
385	1253	1994
386	1256	1990
387	1260	1987
388	1264	1986
389	1267	1982
390	1270	1978
391	1273	1974
392	1275	1970
393	1279	1968
394	1282	1964
395	1285	1960
396	1288	1956
397	1290	1952
398	1294	1949
399	1297	1945
400	1299	1941
401	1302	1937
402	1305	1933
403	1308	1929
404	1311	1927
405	1315	1924
406	1317	1920
407	1320	1916
408	1323	1912
409	1327	1910
410	1330	1906
411	1332	1902
412	1336	1899
413	1339	1895
414	1342	1892
415	1346	1889
416	1348	1886
417	1352	1882
418	1354	1878
419	1358	1876
420	1362	1873
421	1365	1870
422	1368	1867
423	1371	1863
424	1375	1861
425	1378	1858
426	1381	1854
427	1384	1850
428	1387	1846
429	1391	1844
430	1395	1841
431	1398	1838
432	1402	1836
433	1406	1834
434	1410	1832
435	1414	1829
436	1417	1826
437	1420	1823
438	1425	1821
439	1428	1818
440	1431	1814
441	1434	1810
442	1437	1807
443	1441	1805
444	1444	1801
445	1447	1797
446	1450	1794
447	1453	1791
448	1457	1788
449	1460	1784
450	1463	1781
451	1466	1777
452	1469	1774
453	1473	1771
454	1476	1768
455	1479	1764
456	1481	1760
457	1485	1757
458	1489	1755
459	1493	1752
460	1496	1749
461	1499	1745
462	1503	1744
463	1507	1741
464	1510	1738
465	1513	1734
466	1516	1730
467	1520	1728
468	1523	1724
469	1526	1720
470	1528	1717
471	1531	1713
472	1535	1711
473	1538	1707
474	1541	1704
475	1544	1700
476	1547	1696
477	1551	1694
478	1554	1691
479	1558	1687
480	1561	1684
481	1564	1681
482	1568	1679
483	1571	1675
484	1574	1672
485	1577	1668
486	1580	1664
487	1584	1662
488	1587	1658
489	1590	1655
490	1593	1651
491	1597	1649
492	1601	1647
493	1604	1643
494	1607	1640
495	1610	1636
496	1612	1632
497	1616	1629
498	1619	1626
499	1622	1622
500	1625	1619
501	1628	1615
502	1631	1612
503	1634	1608
504	1636	1604
505	1639	1600
506	1642	1596
507	1644	1592
508	1648	1589
509	1650	1586
510	1653	1582
511	1655	1578
512	1658	1574
513	1660	1570
514	1664	1567
515	1667	1563
516	1669	1559
517	1672	1556
518	1674	1552
519	1677	1548
520	1680	1545
521	1683	1541
522	1685	1537
523	1688	1533
524	1690	1529
525	1693	1525
526	1696	1522
527	1699	1519
528	1702	1515
529	1705	1512
530	1707	1508
531	1710	1505
532	1713	1501
533	1716	1498
534	1719	1494
535	1721	1490
536	1724	1486
537	1727	1483
538	1730	1480
539	1733	1476
540	1736	1473
541	1739	1469
542	1742	1466
543	1746	1463
544	1748	1459
545	1751	1456
546	1753	1452
547	1756	1448
548	1759	1445
549	1762	1442
550	1765	1438
551	1768	1435
552	1770	1431
553	1773	1427
554	1776	1424
555	1779	1421
556	1782	1417
557	1785	1414
558	1787	1410
559	1790	1407
560	1794	1403
561	1796	1400
562	1799	1396
563	1802	1393
564	1804	1389
565	1807	1386
566	1811	1383
567	1813	1379
568	1816	1375
569	1819	1372
570	1821	1368
571	1825	1365
572	1828	1362
573	1831	1358
574	1833	1355
575	1836	1351
576	1839	1348
577	1842	1345
578	1845	1341
579	1847	1338
580	1850	1334
581	1852	1330
582	1855	1327
583	1858	1324
584	1861	1320
585	1864	1316
586	1866	1313
587	1869	1309
588	1872	1306
589	1875	1303
590	1878	1299
591	1880	1296
592	1883	1292
593	1885	1289
594	1889	1285
595	1891	1282
596	1894	1278
597	1897	1275
598	1899	1271
599	1902	1268
600	1905	1265
601	1908	1261
602	1911	1258
603	1913	1254
604	1916	1251
605	1918	1247
606	1922	1244
607	1925	1241
608	1928	1238
609	1931	1234
610	1933	1231
611	1936	1227
612	1939	1224
613	1942	1220
614	1944	1217
615	1947	1213
616	1949	1210
617	1953	1207
618	1956	1204
619	1959	1200
620	1962	1197
621	1964	1193
622	1967	1190
623	1970	1187
624	1973	1184
625	1975	1180
626	1978	1176
627	1980	1173
628	1983	1170
629	1986	1166
630	1989	1163
631	1992	1159
632	1994	1156
633	1997	1153
634	2000	1149
635	2003	1146
636	2006	1143
637	2008	1139
638	2011	1136
639	2013	1132
640	2016	1129
641	2019	1126
642	2022	1122
643	2025	1119
644	2028	1116
645	2030	1112
646	2034	1110
647	2037	1106
648	2039	1103
649	2042	1099
650	2045	1096
651	2047	1092
652	2050	1089
653	2053	1086
654	2056	1083
655	2058	1079
656	2061	1076
657	2064	1072
658	2067	1069
659	2070	1066
660	2072	1063
661	2075	1059
662	2077	1056
663	2080	1052
664	2083	1049
665	2085	1046
666	2088	1042
667	2091	1039
668	2093	1036
669	2096	1032
670	2099	1029
671	2102	1026
672	2104	1022
673	2107	1019
674	2110	1015
675	2112	1012
676	2116	1009
677	2118	1006
678	2121	1002
679	2124	999
680	2127	996
681	2130	993
682	2134	990
683	2137	987
684	2140	984
685	2143	981
686	2147	978
687	2150	975
688	2153	971
689	2156	968
690	2158	965
691	2162	962
692	2166	959
693	2169	956
694	2171	953
695	2174	949
696	2178	947
697	2181	944
698	2185	940
699	2188	937
700	2191	934
701	2195	931
702	2198	928
703	2201	925
704	2204	922
705	2208	919
706	2212	917
707	2216	914
708	2219	911
709	2222	907
710	2239	910
711	2242	907
712	2246	904
713	2249	900
714	2252	897
715	2255	894
716	2257	891
717	2261	888
718	2264	884
719	2267	881
720	2270	878
721	2273	875
722	2277	872
723	2281	869
724	2284	866
725	2287	863
726	2292	860
727	2295	857
728	2299	854
729	2303	851
730	2306	848
731	2310	845
732	2314	842
733	2317	839
734	2321	836
735	2325	834
736	2329	831
737	2332	828
738	2336	825
739	2340	822
740	2345	819
741	2348	816
742	2353	813
743	2357	811
744	2360	808
745	2363	804
746	2366	801
747	2370	798
748	2374	795
749	2377	792
750	2381	789
751	2385	786
752	2389	783
753	2393	780
754	2396	777
755	2400	774
756	2404	771
757	2408	769
758	2412	766
759	2416	763
760	2422	760
761	2426	757
762	2430	754
763	2433	751
764	2438	749
765	2443	746
766	2447	743
767	2452	740
768	2455	737
769	2459	734
770	2463	731
771	2468	728
772	2472	726
773	2476	723
774	2480	720
775	2486	717
776	2490	714
777	2494	711
778	2498	708
779	2503	706
780	2507	702
781	2511	700
782	2516	697
783	2520	694
784	2524	691
785	2528	688
786	2532	685
787	2537	682
788	2540	679
789	2544	676
790	2547	673
791	2551	670
792	2555	667
793	2558	663
794	2561	660
795	2565	657
796	2569	654
797	2572	651
798	2575	647
799	2578	644
800	2582	641
801	2585	638
802	2587	634
803	2590	631
804	2593	628
805	2596	624
806	2599	621
807	2602	618
808	2604	614
809	2607	611
810	2610	608
811	2613	605
812	2616	601
813	2618	598
814	2621	595
815	2623	591
816	2626	588
817	2630	585
818	2633	581
819	2635	578
820	2638	575
821	2641	571
822	2643	568
823	2647	565
824	2649	562
825	2652	558
826	2654	555
827	2656	551
828	2659	548
829	2662	545
830	2665	542
831	2668	538
832	2670	535
833	2673	532
834	2675	528
835	2679	525
836	2681	522
837	2684	518
838	2686	515
839	2689	512
840	2691	508
841	2695	505
842	2698	502
843	2700	499
844	2703	495
845	2705	492
846	2708	489
847	2711	486
848	2714	482
849	2716	479
850	2719	476
851	2721	472
852	2724	469
853	2727	466
854	2730	463
855	2733	459
856	2736	456
857	2738	453
858	2742	450
859	2745	446
860	2749	443
861	2752	440
862	2755	437
863	2759	434
864	2762	431
865	2764	427
866	2767	424
867	2769	421
868	2772	417
869	2775	414
870	2778	411
871	2781	408
872	2783	404
873	2786	401
874	2788	398
875	2792	395
876	2794	391
877	2797	388
878	2799	385
879	2802	382
880	2805	378
881	2808	375
882	2811	372
883	2813	369
884	2816	365
885	2818	362
886	2821	359
887	2824	356
888	2827	353
889	2830	349
890	2832	346
891	2834	343
892	2838	340
893	2841	336
894	2843	333
895	2846	330
896	2848	327
897	2851	323
898	2854	320
899	2857	317
900	2860	314
901	2863	311
902	2866	307
903	2869	304
904	2873	301
905	2875	298
906	2877	295
907	2880	291
908	2883	288
909	2886	285
910	2889	282
911	2891	279
912	2894	275
913	2896	272
914	2899	269
915	2902	266
916	2905	262
917	2907	259
918	2910	256
919	2912	253
920	2915	250
921	2918	246
922	2921	243
923	2924	240
924	2927	237
925	2929	234
926	2932	230
927	2935	227
928	2938	224
929	2941	221
930	2944	218
931	2946	215
932	2949	211
933	2953	208
934	2955	205
935	2958	202
936	2961	199
937	2964	195
938	2967	192
939	2970	189
940	2972	186
941	2975	183
942	2977	179
943	2980	176
944	2983	173
945	2986	170
946	2989	167
947	2991	164
948	2994	160
949	2996	157
950	3000	154
951	3003	151
952	3005	148
953	3008	145
954	3010	141
955	3013	138
956	3017	135
957	3019	132
958	3023	129
959	3026	126
960	3028	122
961	3032	119
962	3035	116
963	3038	113
964	3040	110
965	3043	107
966	3046	103
967	3050	100
968	3053	97
969	3055	94
970	3058	91
971	3061	88
972	3064	85
973	3067	81
974	3070	78
975	3073	75
976	3076	72
977	3079	69
978	3082	66
979	3085	62
980	3087	59
981	3090	56
982	3092	53
983	3096	50
984	3098	47
985	3101	44
986	3103	40
987	3106	37
988	3109	34
989	3112	31
990	3115	28
991	3117	25
992	3120	21
993	3122	18
994	3125	15
995	3129	12
996	3132	9
997	3134	6
998	3137	3
999	3140	0
