iter	Logloss
0	0.6779108982
1	0.6629766826
2	0.6473957137
3	0.6332674712
4	0.6188851151
5	0.604112114
6	0.5892811196
7	0.5772086748
8	0.5632751565
9	0.550911598
10	0.5387223686
11	0.5283424527
12	0.5165034774
13	0.5066060085
14	0.4954368242
15	0.4850757075
16	0.4748642865
17	0.4649917004
18	0.4546024597
19	0.444795995
20	0.4357990938
21	0.4273861654
22	0.417919134
23	0.4091437845
24	0.4009850695
25	0.3927460714
26	0.3843349881
27	0.3766046661
28	0.3688629749
29	0.3620076398
30	0.3545725953
31	0.3475512586
32	0.3406895656
33	0.3335462583
34	0.327544044
35	0.3213601206
36	0.3145975848
37	0.3080142152
38	0.3021899454
39	0.2960740632
40	0.2900869831
41	0.2844283659
42	0.279017704
43	0.2737732432
44	0.2688692629
45	0.2642034394
46	0.2593301013
47	0.2539002662
48	0.2491925308
49	0.2449325362
50	0.2411494536
51	0.2371044034
52	0.2334291047
53	0.2290030087
54	0.2249827665
55	0.2212947771
56	0.217553681
57	0.2136920356
58	0.2100332422
59	0.2065127254
60	0.2031885783
61	0.2001766878
62	0.1970935148
63	0.1941512737
64	0.1908526452
65	0.1881713618
66	0.1854124506
67	0.1827553269
68	0.1802031947
69	0.1776659722
70	0.1749311958
71	0.1725313523
72	0.1701047062
73	0.1677936978
74	0.164944468
75	0.1626218534
76	0.1605010936
77	0.1584939146
78	0.1564623016
79	0.1536212373
80	0.1516092338
81	0.1494595521
82	0.1470462575
83	0.1453324611
84	0.1433238485
85	0.1412515204
86	0.1394654567
87	0.1376296149
88	0.1356647965
89	0.1340455822
90	0.1324032802
91	0.1308914633
92	0.1290866004
93	0.1277187572
94	0.1260451149
95	0.1242918625
96	0.1229572919
97	0.1215679568
98	0.1203311845
99	0.1189545401
100	0.1173784842
101	0.1159633312
102	0.1146934858
103	0.113367891
104	0.1121248357
105	0.1109427907
106	0.1097523309
107	0.1085426605
108	0.1074452369
109	0.106141508
110	0.1050463658
111	0.1038384905
112	0.1027295356
113	0.1017433989
114	0.1004467634
115	0.0993344737
116	0.09823610268
117	0.09715652466
118	0.09617379756
119	0.09497732898
120	0.09386745777
121	0.09293290681
122	0.09190773808
123	0.09063118579
124	0.08971699235
